government-organisation	name	website	government-organisation-type	parent-bodies	text	crest	official-colour	abbreviation	start-date	end date
uk-commission-for-employment-and-skills	UK Commission for Employment and Skills	https://www.gov.uk/government/organisations/uk-commission-for-employment-and-skills	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-education				UKCES		
uk-debt-management-office	UK Debt Management Office	https://www.gov.uk/government/organisations/uk-debt-management-office	Executive agency	https://www.gov.uk/api/organisations/hm-treasury				DMO		
uk-export-finance	UK Export Finance	https://www.gov.uk/government/organisations/uk-export-finance	Ministerial department			org-crest	#005747	UKEF		
uk-film-council	UK Film Council	https://www.gov.uk/government/organisations/uk-film-council	Other							31-03-2012
uk-financial-investments-limited	UK Financial Investments Limited	https://www.gov.uk/government/organisations/uk-financial-investments-limited	Other	https://www.gov.uk/api/organisations/hm-treasury;https://www.gov.uk/api/organisations/uk-government-investments				UKFI		
uk-government-decontamination-service	UK Government Decontamination Service	https://www.gov.uk/government/organisations/uk-government-decontamination-service	Sub-organisation	https://www.gov.uk/api/organisations/the-food-and-environment-research-agency						
uk-government-investments	UK Government Investments	https://www.gov.uk/government/organisations/uk-government-investments	Other	https://www.gov.uk/api/organisations/hm-treasury				UKGI		
uk-green-investment-bank	UK Green Investment Bank	https://www.gov.uk/government/organisations/uk-green-investment-bank	Other	https://www.gov.uk/api/organisations/department-for-business-energy-and-industrial-strategy				GIB		
uk-holocaust-memorial-foundation	UK Holocaust Memorial Foundation	https://www.gov.uk/government/organisations/uk-holocaust-memorial-foundation	Advisory non-departmental public body	https://www.gov.uk/api/organisations/prime-ministers-office-10-downing-street				UKHMF		
uk-hydrographic-office	UK Hydrographic Office	https://www.gov.uk/government/organisations/uk-hydrographic-office	Executive agency	https://www.gov.uk/api/organisations/ministry-of-defence				UKHO		
uk-passport-service	UK Passport Service	https://www.gov.uk/government/organisations/uk-passport-service	Other							01-04-2006
uk-space-agency	UK Space Agency	https://www.gov.uk/government/organisations/uk-space-agency	Executive agency	https://www.gov.uk/api/organisations/department-for-business-energy-and-industrial-strategy						
uk-sport	UK Sport	https://www.gov.uk/government/organisations/uk-sport	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-culture-media-sport				UKSP		
uk-statistics-authority	UK Statistics Authority	https://www.gov.uk/government/organisations/uk-statistics-authority	Non-ministerial department					Statistics		
uk-trade-and-investment-defence-and-security-organisation	Department for International Trade Defence & Security Organisation	https://www.gov.uk/government/organisations/uk-trade-and-investment-defence-and-security-organisation	Sub-organisation	https://www.gov.uk/api/organisations/department-for-international-trade				DIT DSO		
uk-trade-investment	UK Trade & Investment	https://www.gov.uk/government/organisations/uk-trade-investment	Non-ministerial department				#C80651	UKTI		13-07-2016
uk-transplant	UK Transplant	https://www.gov.uk/government/organisations/uk-transplant	Other							01-10-2005
uk-visas-and-immigration	UK Visas and Immigration	https://www.gov.uk/government/organisations/uk-visas-and-immigration	Sub-organisation	https://www.gov.uk/api/organisations/home-office				UKVI		
ukti-education	UKTI Education	https://www.gov.uk/government/organisations/ukti-education	Sub-organisation	https://www.gov.uk/api/organisations/department-for-business-innovation-skills;https://www.gov.uk/api/organisations/uk-trade-investment				UKTI Education		
ukti-life-sciences-organisation	UKTI Life Sciences Organisation	https://www.gov.uk/government/organisations/ukti-life-sciences-organisation	Sub-organisation	https://www.gov.uk/api/organisations/uk-trade-investment				UKTI LSO		
united-kingdom-blood-transfusion-services	United Kingdom Blood Transfusion Services	https://www.gov.uk/government/organisations/united-kingdom-blood-transfusion-services	Other							find
united-kingdom-reserve-forces-association	United Kingdom Reserve Forces Association	https://www.gov.uk/government/organisations/united-kingdom-reserve-forces-association	Other	https://www.gov.uk/api/organisations/ministry-of-defence				UKRFA		
upper-tribunal-administrative-appeals-chamber	Upper Tribunal (Administrative Appeals Chamber)	https://www.gov.uk/courts-tribunals/upper-tribunal-administrative-appeals-chamber	Tribunal non-departmental public body	https://www.gov.uk/api/organisations/hm-courts-and-tribunals-service						
upper-tribunal-immigration-and-asylum-chamber	Upper Tribunal (Immigration and Asylum Chamber)	https://www.gov.uk/courts-tribunals/upper-tribunal-immigration-and-asylum-chamber	Tribunal non-departmental public body	https://www.gov.uk/api/organisations/hm-courts-and-tribunals-service						
upper-tribunal-lands-chamber	Upper Tribunal (Lands Chamber)	https://www.gov.uk/courts-tribunals/upper-tribunal-lands-chamber	Tribunal non-departmental public body	https://www.gov.uk/api/organisations/hm-courts-and-tribunals-service						
upper-tribunal-tax-and-chancery-chamber	Upper Tribunal (Tax and Chancery Chamber)	https://www.gov.uk/courts-tribunals/upper-tribunal-tax-and-chancery-chamber	Tribunal non-departmental public body	https://www.gov.uk/api/organisations/hm-courts-and-tribunals-service						
valuation-and-lands-agency	Valuation and Lands Agency	https://www.gov.uk/government/organisations/valuation-and-lands-agency	Executive agency							
valuation-office-agency	Valuation Office Agency	https://www.gov.uk/government/organisations/valuation-office-agency	Executive agency	https://www.gov.uk/api/organisations/hm-revenue-customs				VOA		
valuation-tribunal-for-england	Valuation Tribunal for England	https://www.gov.uk/government/organisations/valuation-tribunal-for-england	Tribunal non-departmental public body	https://www.gov.uk/api/organisations/department-for-communities-and-local-government				VTE		
valuation-tribunal-service-for-england-valuation-tribunal-service	Valuation Tribunal Service	https://www.gov.uk/government/organisations/valuation-tribunal-service-for-england-valuation-tribunal-service	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-communities-and-local-government				VTS		
varney-review	Varney Review	https://www.gov.uk/government/organisations/varney-review	Other							06-12-2016
vehicle-and-operator-services-agency	Vehicle and Operator Services Agency	https://www.gov.uk/government/organisations/vehicle-and-operator-services-agency	Executive agency	https://www.gov.uk/api/organisations/department-for-transport				VOSA		01-04-2014
vehicle-certification-agency	Vehicle Certification Agency	https://www.gov.uk/government/organisations/vehicle-certification-agency	Executive agency	https://www.gov.uk/api/organisations/department-for-transport				VCA		
veterans-advisory-and-pensions-committees-x13	Veterans Advisory and Pensions Committees	https://www.gov.uk/government/organisations/veterans-advisory-and-pensions-committees-x13	Advisory non-departmental public body	https://www.gov.uk/api/organisations/ministry-of-defence				VAPC		
veterans-uk	Veterans UK	https://www.gov.uk/government/organisations/veterans-uk	Sub-organisation	https://www.gov.uk/api/organisations/ministry-of-defence				Veterans UK		
veterinary-laboratories-agency	Veterinary Laboratories Agency	https://www.gov.uk/government/organisations/veterinary-laboratories-agency	Executive agency							01-04-2011
veterinary-medicines-directorate	Veterinary Medicines Directorate	https://www.gov.uk/government/organisations/veterinary-medicines-directorate	Executive agency	https://www.gov.uk/api/organisations/department-for-environment-food-rural-affairs				VMD		
veterinary-products-committee	Veterinary Products Committee	https://www.gov.uk/government/organisations/veterinary-products-committee	Advisory non-departmental public body	https://www.gov.uk/api/organisations/department-for-environment-food-rural-affairs				VPC		
veterinary-residues-committee	Veterinary Residues Committee	https://www.gov.uk/government/organisations/veterinary-residues-committee	Other	https://www.gov.uk/api/organisations/department-for-environment-food-rural-affairs				VRC		01-2015
victim-s-advisory-panel	Victims' Advisory Panel	https://www.gov.uk/government/organisations/victim-s-advisory-panel	Advisory non-departmental public body	https://www.gov.uk/api/organisations/ministry-of-justice				VAP		24-07-2013
